# Plate,T1,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,7.0,Samp_median_FWHM,7.0,IS_per_well,3.7
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,0,0.0000,no peaks,,
A02,0,0.0000,no peaks,,
A03,0,0.0000,no peaks,,
A04,0,0.0000,no peaks,,
A05,1,0.0000,homozygous (1 peak),2567,30.88
A06,0,0.0000,no peaks,,
A07,1,0.0000,homozygous (1 peak),2541,23.41
A08,2,0.3372,het-like (2 peaks),2551;2571,16.95;15.81
A09,3,0.6191,low MF (3 peaks),2255;2359;2459,8.00;14.47;7.71
A10,1,0.0000,homozygous (1 peak),2360,31.19
A11,3,0.6401,low MF (3 peaks),2492;2618;2644,17.00;13.02;11.23
A12,3,0.6405,low MF (3 peaks),2329;2454;2608,5.53;7.61;4.88
B01,1,0.0000,homozygous (1 peak),2875,20.60
B02,3,0.6453,low MF (3 peaks),2488;2537;2644,24.13;9.54;10.45
B03,1,0.0000,homozygous (1 peak),2646,16.04
B04,1,0.0000,homozygous (1 peak),2473,25.79
B05,0,0.0000,no peaks,,
B06,2,0.2808,het-like (2 peaks),2501;2520,11.73;30.05
B07,3,0.4278,low MF (3 peaks),2505;2595;2662,10.50;9.91;17.06
B08,1,0.0000,homozygous (1 peak),2495,20.04
B09,3,0.4379,low MF (3 peaks),2284;2378;2455,20.30;11.48;23.65
B10,3,0.6084,low MF (3 peaks),2233;2336;2430,9.62;11.46;7.40
B11,3,0.6495,low MF (3 peaks),2455;2584;2608,22.78;18.41;20.98
B12,2,0.3522,het-like (2 peaks),2449;2467,31.89;17.34
C01,0,0.0000,no peaks,,
C02,1,0.0000,homozygous (1 peak),2851,12.47
C03,1,0.0000,homozygous (1 peak),2625,38.75
C04,0,0.0000,no peaks,,
C05,0,0.0000,no peaks,,
C06,3,0.4689,low MF (3 peaks),2486;2570;2663,8.40;8.28;12.20
C07,2,0.3921,het-like (2 peaks),2590;2606,24.57;15.85
C08,3,0.3671,low MF (3 peaks),2449;2549;2623,5.28;6.13;12.05
C09,1,0.0000,homozygous (1 peak),2357,26.16
C10,1,0.0000,homozygous (1 peak),2269,14.65
C11,1,0.0000,homozygous (1 peak),2472,22.48
C12,1,0.0000,homozygous (1 peak),2507,11.65
D01,1,0.0000,homozygous (1 peak),2545,2.62
D02,0,0.0000,no peaks,,
D03,1,0.0000,homozygous (1 peak),2534,6.47
D04,0,0.0000,no peaks,,
D05,2,0.0000,"homozygous (2 peaks, noise)",2552;2571,9.79;41.62
D06,1,0.0000,homozygous (1 peak),2588,46.16
D07,1,0.0000,homozygous (1 peak),2607,17.47
D08,1,0.0000,homozygous (1 peak),2370,8.70
D09,1,0.0000,homozygous (1 peak),2423,7.03
D10,3,0.4434,low MF (3 peaks),2288;2377;2449,3.36;4.16;5.84
D11,1,0.0000,homozygous (1 peak),2502,26.05
D12,3,0.6007,low MF (3 peaks),2347;2470;2610,6.59;5.90;3.30
E01,1,0.0000,homozygous (1 peak),2625,29.22
E02,0,0.0000,no peaks,,
E03,1,0.0000,homozygous (1 peak),2702,29.48
E04,2,0.4589,het-like (2 peaks),2497;2554,9.56;11.27
E05,0,0.0000,no peaks,,
E06,3,0.4375,low MF (3 peaks),2464;2537;2626,9.06;11.03;16.78
E07,1,0.0000,homozygous (1 peak),2599,23.23
E08,1,0.0000,homozygous (1 peak),2580,11.37
E09,1,0.0000,homozygous (1 peak),2348,25.71
E10,3,0.3830,low MF (3 peaks),2261;2351;2431,5.19;5.17;9.81
E11,1,0.0000,homozygous (1 peak),2516,35.70
E12,2,0.4538,het-like (2 peaks),2485;2626,4.87;3.88
F01,2,0.3764,het-like (2 peaks),2487;2780,13.12;18.33
F02,1,0.0000,homozygous (1 peak),2625,4.81
F03,1,0.0000,homozygous (1 peak),2714,37.61
F04,3,0.5860,low MF (3 peaks),2521;2575;2673,12.89;14.10;11.25
F05,3,0.4571,low MF (3 peaks),2475;2544;2633,8.53;9.84;15.33
F06,1,0.0000,homozygous (1 peak),2651,21.79
F07,3,0.3660,low MF (3 peaks),2516;2597;2665,4.87;7.03;14.28
F08,1,0.0000,homozygous (1 peak),2510,7.09
F09,1,0.0000,homozygous (1 peak),2277,28.88
F10,1,0.0000,homozygous (1 peak),2351,10.75
F11,3,0.6567,low MF (3 peaks),2396;2493;2612,6.92;7.31;4.85
F12,1,0.0000,homozygous (1 peak),2363,28.52
G01,4,0.4954,het (4 peaks),2520;2618;2712;2737,9.78;8.08;7.30;10.71
G02,1,0.0000,homozygous (1 peak),2613,18.65
G03,0,0.0000,no peaks,,
G04,3,0.6303,low MF (3 peaks),2560;2623;2879,14.30;14.91;13.71
G05,2,0.3131,het-like (2 peaks),2461;2478,10.45;22.93
G06,1,0.0000,homozygous (1 peak),2562,11.22
G07,3,0.4170,low MF (3 peaks),2556;2631;2703,6.34;5.81;12.46
G08,1,0.0000,homozygous (1 peak),2562,9.83
G09,3,0.3939,low MF (3 peaks),2310;2381;2449,5.11;4.13;8.60
G10,1,0.0000,homozygous (1 peak),2313,13.13
G11,1,0.0000,homozygous (1 peak),2491,24.24
G12,1,0.0000,homozygous (1 peak),2486,29.57
H01,0,0.0000,no peaks,,
H02,3,0.6413,low MF (3 peaks),2583;2689;2800,11.84;12.04;7.58
H03,1,0.0000,homozygous (1 peak),2545,26.23
H04,0,0.0000,no peaks,,
H05,0,0.0000,no peaks,,
H06,1,0.0000,homozygous (1 peak),2479,16.32
H07,1,0.0000,homozygous (1 peak),2602,9.29
H08,1,0.0000,homozygous (1 peak),2506,11.26
H09,1,0.0000,homozygous (1 peak),2369,24.91
H10,2,0.3950,het-like (2 peaks),2415;2479,4.45;5.06
H11,1,0.0000,homozygous (1 peak),2551,32.80
H12,2,0.2990,het-like (2 peaks),2340;2469,22.70;10.52
