# Plate,T7,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,6.0,Samp_median_FWHM,5.0,IS_per_well,6.0
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2214,7.46
A02,1,0.0000,homozygous (1 peak),2218,7.85
A03,1,0.0000,homozygous (1 peak),2537,8.37
A04,4,0.4290,het (4 peaks),2437;2543;2757;2844,8.08;7.37;4.99;4.56
A05,1,0.0000,homozygous (1 peak),2420,8.89
A06,3,0.5829,low MF (3 peaks),2395;2591;2679,5.86;3.82;3.45
A07,2,0.4293,het-like (2 peaks),2285;2304,6.54;4.92
A08,1,0.0000,homozygous (1 peak),2348,9.70
A09,1,0.0000,homozygous (1 peak),2436,8.52
A10,3,0.6187,low MF (3 peaks),2448;2668;2764,3.34;3.84;3.97
A11,3,0.6505,low MF (3 peaks),2281;2475;2593,3.20;3.78;3.21
A12,4,0.4674,het (4 peaks),2182;2242;2435;2558,4.60;9.08;10.08;5.12
B01,2,0.4948,het-like (2 peaks),2429;2526,3.38;3.23
B02,1,0.0000,homozygous (1 peak),2193,7.26
B03,1,0.0000,homozygous (1 peak),2543,11.70
B04,3,0.6431,low MF (3 peaks),2515;2736;2819,4.67;4.14;4.19
B05,1,0.0000,homozygous (1 peak),2429,11.21
B06,4,0.3279,het (4 peaks),2280;2363;2570;2674,5.38;7.02;12.61;12.67
B07,1,0.0000,homozygous (1 peak),2379,15.45
B08,2,0.4687,het-like (2 peaks),2290;2308,17.57;19.92
B09,4,0.4671,het (4 peaks),2387;2490;2705;2792,2.60;3.46;3.43;3.39
B10,3,0.6217,low MF (3 peaks),2430;2651;2745,3.10;3.55;3.67
B11,3,0.6401,low MF (3 peaks),2289;2483;2600,4.53;5.43;4.29
B12,1,0.0000,homozygous (1 peak),2247,11.24
C01,3,0.6388,low MF (3 peaks),2218;2422;2521,2.50;3.23;3.00
C02,1,0.0000,homozygous (1 peak),2241,8.95
C03,1,0.0000,homozygous (1 peak),2453,11.66
C04,1,0.0000,homozygous (1 peak),2446,13.04
C05,1,0.0000,homozygous (1 peak),2435,9.77
C06,4,0.4275,het (4 peaks),2329;2418;2621;2718,5.79;11.96;9.79;10.54
C07,4,0.4463,het (4 peaks),2300;2376;2580;2690,8.29;9.80;11.53;8.21
C08,2,0.4120,het-like (2 peaks),2372;2386,9.54;13.62
C09,1,0.0000,homozygous (1 peak),2485,10.40
C10,1,0.0000,homozygous (1 peak),2477,9.89
C11,1,0.0000,homozygous (1 peak),2292,12.55
C12,1,0.0000,homozygous (1 peak),2282,9.08
D01,0,0.0000,no peaks,,
D02,1,0.0000,homozygous (1 peak),2228,8.53
D03,1,0.0000,homozygous (1 peak),2459,12.92
D04,1,0.0000,homozygous (1 peak),2437,13.04
D05,1,0.0000,homozygous (1 peak),2439,14.26
D06,1,0.0000,homozygous (1 peak),2324,13.30
D07,4,0.3690,het (4 peaks),2322;2407;2617;2726,5.01;8.28;10.13;8.33
D08,2,0.4783,het-like (2 peaks),2401;2426,17.16;15.74
D09,3,0.6079,low MF (3 peaks),2467;2673;2760,3.23;3.62;4.08
D10,2,0.4243,het-like (2 peaks),2471;2488,7.38;10.02
D11,1,0.0000,homozygous (1 peak),2303,11.39
D12,1,0.0000,homozygous (1 peak),2198,10.11
E01,1,0.0000,homozygous (1 peak),2155,11.68
E02,1,0.0000,homozygous (1 peak),2243,9.47
E03,3,0.6158,low MF (3 peaks),2577;2787;2864,8.90;4.60;8.26
E04,3,0.6315,low MF (3 peaks),2574;2788;2870,9.80;8.69;9.96
E05,4,0.3963,het (4 peaks),2318;2409;2605;2691,3.49;4.81;5.30;5.36
E06,3,0.6163,low MF (3 peaks),2336;2607;2686,6.14;9.48;8.90
E07,2,0.4846,het-like (2 peaks),2473;2513,12.97;12.20
E08,5,0.4129,het (5 peaks),2525;2731;2766;2848;2895,8.97;10.93;8.15;6.60;6.67
E09,4,0.4095,het (4 peaks),2388;2491;2690;2769,2.92;3.40;4.14;4.58
E10,3,0.6483,low MF (3 peaks),2478;2693;2775,3.68;3.56;3.64
E11,1,0.0000,homozygous (1 peak),2238,10.04
E12,1,0.0000,homozygous (1 peak),2268,10.99
F01,2,0.4827,het-like (2 peaks),2434;2516,2.92;2.82
F02,4,0.4706,het (4 peaks),2163;2251;2446;2527,1.96;2.30;2.38;2.35
F03,3,0.6132,low MF (3 peaks),2579;2790;2863,5.20;3.12;5.17
F04,2,0.4659,het-like (2 peaks),2571;2592,10.46;11.99
F05,1,0.0000,homozygous (1 peak),2341,13.42
F06,2,0.4980,het-like (2 peaks),2460;2483,15.94;16.07
F07,4,0.3823,het (4 peaks),2325;2413;2616;2711,4.87;8.84;10.03;7.99
F08,4,0.3795,het (4 peaks),2338;2424;2620;2714,5.02;6.88;8.47;6.17
F09,2,0.2344,het-like (2 peaks),2496;2500,4.23;13.83
