Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2170,15.67
A02,0,0.0000,no peaks,,
A03,4,0.4794,het (4 peaks),2441;2524;2719;2809,4.41;5.99;4.58;3.61
A04,2,0.4696,het-like (2 peaks),2531;2545,9.76;11.02
A05,1,0.0000,homozygous (1 peak),2155,20.77
A06,1,0.0000,homozygous (1 peak),2178,13.74
A07,1,0.0000,homozygous (1 peak),2692,24.36
A08,3,0.6223,low MF (3 peaks),2576;2677;2853,3.29;4.16;2.68
A09,4,0.2569,het (4 peaks),2442;2529;2726;2819,4.05;5.16;1.35;1.25
A10,4,0.4822,het (4 peaks),2425;2510;2722;2817,3.05;3.81;2.97;2.58
A11,3,0.6345,low MF (3 peaks),2443;2636;2745,9.57;10.68;9.71
A12,3,0.5834,low MF (3 peaks),2083;2090;2417,3.59;5.46;7.55
B01,0,0.0000,no peaks,,
B02,1,0.0000,homozygous (1 peak),2432,18.17
B03,0,0.0000,no peaks,,
B04,0,0.0000,no peaks,,
B05,3,0.5838,low MF (3 peaks),2175;2309;2431,10.27;6.54;9.16
B06,2,0.4807,het-like (2 peaks),2258;2360,5.98;5.96
B07,1,0.0000,homozygous (1 peak),2705,20.53
B08,4,0.4931,het (4 peaks),2590;2701;2780;2870,3.86;6.49;4.95;5.67
B09,3,0.6345,low MF (3 peaks),2554;2758;2841,5.58;5.84;5.79
B10,1,0.0000,homozygous (1 peak),2501,12.52
B11,3,0.6515,low MF (3 peaks),2439;2640;2751,14.67;11.44;9.76
B12,4,0.4531,het (4 peaks),2355;2418;2619;2749,4.12;5.20;4.31;3.25
C01,1,0.0000,homozygous (1 peak),2147,12.88
C02,0,0.0000,no peaks,,
C03,1,0.0000,homozygous (1 peak),2585,26.58
C04,4,0.4485,het (4 peaks),2464;2553;2749;2832,7.01;5.58;7.26;5.97
C05,1,0.0000,homozygous (1 peak),2157,28.53
C06,1,0.0000,homozygous (1 peak),2178,12.56
C07,2,0.4348,het-like (2 peaks),2695;2707,16.95;22.03
C08,3,0.6482,low MF (3 peaks),2591;2697;2868,7.27;8.67;7.34
C09,1,0.0000,homozygous (1 peak),2549,25.86
C10,4,0.4676,het (4 peaks),2427;2517;2735;2829,2.85;3.49;3.25;3.03
C11,1,0.0000,homozygous (1 peak),2381,11.25
C12,4,0.4392,het (4 peaks),2379;2444;2655;2778,3.59;4.06;4.76;4.14
D01,0,0.0000,no peaks,,
D02,0,0.0000,no peaks,,
D03,3,0.6538,low MF (3 peaks),2510;2778;2860,11.57;10.25;9.58
D04,1,0.0000,homozygous (1 peak),2564,16.36
D05,2,0.4281,het-like (2 peaks),2331;2457,8.63;10.31
D06,3,0.5953,low MF (3 peaks),2172;2297;2412,7.40;6.30;9.76
D07,1,0.0000,homozygous (1 peak),2627,27.40
D08,1,0.0000,homozygous (1 peak),2747,21.20
D09,3,0.6552,low MF (3 peaks),2552;2753;2830,6.22;5.51;5.45
D10,4,0.4564,het (4 peaks),2429;2523;2744;2834,2.81;3.36;2.99;3.02
D11,1,0.0000,homozygous (1 peak),2379,17.32
D12,4,0.4606,het (4 peaks),2366;2432;2642;2768,2.70;2.94;3.59;2.71
E01,3,0.6378,low MF (3 peaks),2436;2720;2821,5.72;6.88;6.25
E02,0,0.0000,no peaks,,
E03,1,0.0000,homozygous (1 peak),2563,29.40
E04,1,0.0000,homozygous (1 peak),2555,12.50
E05,3,0.5945,low MF (3 peaks),2131;2297;2414,8.42;7.76;10.30
E06,3,0.6098,low MF (3 peaks),2157;2289;2401,5.86;5.98;7.68
E07,2,0.4913,het-like (2 peaks),2716;2731,22.77;23.58
E08,1,0.0000,homozygous (1 peak),2651,17.37
E09,1,0.0000,homozygous (1 peak),2564,7.61
E10,4,0.4834,het (4 peaks),2430;2523;2743;2835,3.77;3.73;3.43;3.26
E11,4,0.4666,het (4 peaks),2393;2471;2697;2799,7.25;8.83;8.35;7.05
E12,1,0.0000,homozygous (1 peak),2433,10.73
F01,1,0.0000,homozygous (1 peak),2490,18.02
F02,0,0.0000,no peaks,,
F03,1,0.0000,homozygous (1 peak),2571,18.47
F04,1,0.0000,homozygous (1 peak),2760,6.20
F05,1,0.0000,homozygous (1 peak),2153,25.68
F06,1,0.0000,homozygous (1 peak),2160,17.91
F07,1,0.0000,homozygous (1 peak),2738,17.58
F08,3,0.6344,low MF (3 peaks),2650;2754;2911,6.88;7.28;5.57
F09,1,0.0000,homozygous (1 peak),2439,12.30
F10,1,0.0000,homozygous (1 peak),2534,11.00
F11,3,0.6348,low MF (3 peaks),2486;2709;2800,5.40;5.97;5.64
F12,1,0.0000,homozygous (1 peak),2440,13.63
G01,0,0.0000,no peaks,,
G02,0,0.0000,no peaks,,
G03,0,0.0000,no peaks,,
G04,1,0.0000,homozygous (1 peak),2539,17.91
G05,1,0.0000,homozygous (1 peak),2186,19.03
G06,3,0.5758,low MF (3 peaks),2162;2298;2403,4.31;3.02;3.17
G07,2,0.4575,het-like (2 peaks),2675;2776,4.79;3.89
G08,2,0.2478,het-like (2 peaks),2132;2143,11.58;3.81
G09,1,0.0000,homozygous (1 peak),2483,6.53
G10,4,0.4694,het (4 peaks),2468;2572;2777;2852,2.94;3.81;3.24;3.07
G11,1,0.0000,homozygous (1 peak),2468,29.22
G12,4,0.4942,het (4 peaks),2373;2450;2677;2784,3.47;3.20;3.26;2.76
H01,0,0.0000,no peaks,,
H02,1,0.0000,homozygous (1 peak),2234,27.68
H03,0,0.0000,no peaks,,
H04,0,0.0000,no peaks,,
H05,1,0.0000,homozygous (1 peak),2179,22.03
H06,1,0.0000,homozygous (1 peak),2217,19.57
H07,2,0.4675,het-like (2 peaks),2739;2756,4.84;4.25
H08,2,0.4580,het-like (2 peaks),2764;2787,13.34;11.27
H09,3,0.6570,low MF (3 peaks),2588;2773;2838,6.14;5.03;4.79
H10,4,0.4762,het (4 peaks),2489;2596;2797;2869,2.41;3.22;2.64;2.61
H11,4,0.4966,het (4 peaks),2442;2532;2749;2849,5.86;5.25;5.00;4.17
H12,1,0.0000,homozygous (1 peak),2373,11.72
